FIELDID,Crop_type,Crop_num,Median,Mean,Std,Start,End,Coverage,Year,week,chirps_mean_prec,chirps_sum_prec,chirps_max_prec,chirps_min_prec,chirps_std_prec,chirps_cnt_prec,RSM_mean,RSM_min,RSM_max,era5_temp2m,era5_temp2mmin,era5_temp2max,era5_totprec,era5_rh,era5_swi,era5_evaporation_from_bare_soil_sum,veg_mean_evi,veg_mean_lai,veg_mean_pvr,veg_mean_msi,veg_mean_ndvi,veg_median_evi,veg_median_lai,veg_median_pvr,veg_median_msi,veg_median_ndvi,veg_max_evi,veg_max_lai,veg_max_pvr,veg_max_msi,veg_max_ndvi,veg_min_evi,veg_min_lai,veg_min_pvr,veg_min_msi,veg_min_ndvi,veg_std_evi,veg_std_lai,veg_std_pvr,veg_std_msi,veg_std_ndvi,s1_vh,s1_vv,s1_angle,s1_sigma_vh_linear,s1_sigma_vv_linear,s1_p_ratio,s1_rvi,s1_rcspr,ndvi_delta1,evi_delta1,msi_delta1,lai_delta1,pvr_delta1
FS100098,Maize,0,4.33,4.04,1.91,23/08/2018,23/08/2018,78.08,2018,6,40.12292671,103.847575,40.12292671,40.12292671,0.0,8,0.445481481,0.392,0.534,21.62882858,16.87098955,26.86967076,21.77720582,66.06378352,0.855446679,-0.002297263,0.860467979,1.071196794,0.063346049,1.31327832,0.328688998,1.0,1.05964476,0.063466209,1.307106991,0.325496057,1.0,1.836175094,0.204273224,1.658995032,0.540125787,-1.0,0.471475811,-0.140731558,0.923688412,0.162928641,0.249486929,0.239612133,0.028329598,0.126053226,0.066227787,-18.43656013,-11.96829923,41.18235338,0.01439946,0.063923872,0.222802267,0.726926693,0.636536653,0.06186108300000001,0.21384535300000002,-0.06527424199999998,0.22381339849999998,-0.024973072
FS100098,Maize,0,4.33,4.04,1.91,23/08/2018,23/08/2018,78.08,2018,7,40.12486935,103.852603,40.12486935,40.12486935,0.0,8,0.543148148,0.469,0.636,22.45389392,16.83993138,28.43889117,5.170813724,62.29500609,0.720109213,-0.001655767,0.952905993,1.629245186,0.047816652,0.938120926,0.482931229,1.0,1.715175059,0.041513766,0.904838486,0.506956458,1.0,2.259494766,0.128186181,1.504768014,0.657129586,0.371337493,0.567299811,-0.001118568,0.648792803,0.189413995,0.130773376,0.408278872,0.029549401,0.187420557,0.112846565,-17.43649361,-11.53119,41.17553068,0.017953759,0.069734568,0.265132983,0.804624797,0.597687601,0.154242231,0.09243801399999996,-0.37515739400000003,0.5580483919999999,-0.015529397
FS100098,Maize,0,4.33,4.04,1.91,23/08/2018,23/08/2018,78.08,2018,11,55.96035719,144.8385715,55.96035719,55.96035719,0.0,8,0.678296296,0.579,0.803,18.88077543,14.35900487,24.42742528,64.68481078,73.5502415,0.859361285,-0.001065845,0.993140624,1.958524973,0.017723827,0.737272047,0.573942779,1.0,2.089846711,0.011209886,0.670641661,0.610239553,1.0,2.530759033,0.114992723,1.332756877,0.732105851,0.520881138,0.761801763,-0.030612245,0.451481372,0.24317351,0.05651751,0.460548689,0.030764975,0.223095407,0.127293723,-17.56188361,-11.43899573,41.17895824,0.017819725,0.071278385,0.24245847,0.788918629,0.605540686,0.0227528875,0.010058657750000005,-0.05021221974999998,0.08231994675000004,-0.00752320625
FS100098,Maize,0,4.33,4.04,1.91,23/08/2018,23/08/2018,78.08,2018,14,22.6528244,58.63083963,22.6528244,22.6528244,0.0,8,0.711944444,0.619,0.799,17.67666779,13.47446376,22.38198242,14.10700177,77.27759077,0.963240396,-0.001144503,0.988976564,2.122806887,0.01880226,0.674013573,0.61934961,1.0,2.257256347,0.011396686,0.630708406,0.654444462,1.0,2.640653705,0.143623129,1.440521479,0.762480319,0.369596448,0.616500717,-0.046218488,0.454246402,0.203012913,0.085834826,0.495306657,0.040752598,0.184762545,0.13690068,-16.80532274,-10.80926676,41.18043602,0.020782995,0.083050586,0.242283497,0.789966908,0.605016546,0.015135610333333327,-0.0013880200000000082,-0.02108615800000002,0.05476063799999994,0.0003594776666666667
FS100098,Maize,0,4.33,4.04,1.91,23/08/2018,23/08/2018,78.08,2018,19,0.0,0.0,0.0,0.0,0.0,8,0.555092593,0.455,0.631,12.59761336,5.98697597,19.4361969,0.100323754,58.23407015,0.637379692,-0.000338596,0.95160944,1.322104263,-0.001386884,1.166087417,0.398038769,1.0,1.379814481,-0.011251609,1.160726282,0.414902515,1.0,1.978983087,0.126410842,1.857865214,0.579597294,0.291472461,0.465294118,-0.05418139,0.784949839,0.161220044,0.159777418,0.311567865,0.039536284,0.151132591,0.086116049,-21.12808934,-14.46925482,41.17945463,0.00769475,0.035643589,0.210714043,0.710481379,0.644759311,-0.04426216819999999,-0.007473424799999994,0.0984147688,-0.1601405248,-0.0040378288000000005
FS100098,Maize,0,4.33,4.04,1.91,23/08/2018,23/08/2018,78.08,2018,21,0.0,0.0,0.0,0.0,0.0,8,0.586277778,0.517,0.657,12.2243456,4.762087577,20.44609549,6.330900751,47.87823079,0.643657684,-0.000275791,0.934911657,0.937929186,-0.001441493,1.199383692,0.291854391,1.0,0.957766857,-0.006488841,1.185261197,0.297781736,1.0,1.491872518,0.092662759,1.79229939,0.444961995,0.313832133,0.425241077,-0.03679553,0.918806374,0.150149554,0.17799464,0.190079715,0.026035331,0.123379873,0.052537235,-21.56085722,-14.93822173,41.1775013,0.006957681,0.032018549,0.210757678,0.695450734,0.652274633,-0.05309218900000001,-0.00834889150000001,0.01664813750000005,-0.1920875385,-2.7304500000000084e-05
FS100098,Maize,0,4.33,4.04,1.91,23/08/2018,23/08/2018,78.08,2018,24,0.0,0.0,0.0,0.0,0.0,8,0.569388889,0.496,0.647,12.06537,3.966797311,21.89509408,0.003422324,41.42072507,0.603192738,-0.000181618,0.768927075,0.785894322,0.012827913,1.134579806,0.249832593,0.79084867,0.77754434,0.006305192,1.107373548,0.2470752,1.0,1.450565457,0.109535716,1.624246478,0.433544904,0.272074637,0.336526913,-0.017301602,0.817002296,0.125629336,0.191788211,0.175622952,0.024912447,0.136474322,0.048541446,-25.12669081,-15.93621337,41.18043452,0.002987161,0.025619522,0.11737773,0.415026553,0.792486724,-0.014007265999999999,-0.055328194,-0.021601295333333326,-0.050678287999999995,0.004756468666666667
FS100098,Maize,0,4.33,4.04,1.91,23/08/2018,23/08/2018,78.08,2018,26,0.0,0.0,0.0,0.0,0.0,8,0.546851852,0.466,0.628,8.118028259,0.970145525,15.47180655,0.009436301,43.06111797,0.592754364,-0.000105502,0.564329945,0.582014519,0.016455824,1.284270752,0.193481072,0.564404937,0.5878677,0.011250873,1.256179682,0.194925628,1.0,1.128254609,0.114089571,1.780651808,0.344459534,0.247315552,0.328097603,-0.015044248,0.905889153,0.123299502,0.128198261,0.094980479,0.024479503,0.105086948,0.026252206,-25.88723325,-16.19270269,41.17307891,0.002552095,0.024140534,0.101746694,0.366973995,0.816513002,-0.028175760499999994,-0.10229856500000001,0.074845473,-0.10193990149999999,0.0018139555000000005
FS100098,Maize,0,4.33,4.04,1.91,23/08/2018,23/08/2018,78.08,2018,30,0.0,0.0,0.0,0.0,0.0,8,0.466314815,0.391,0.555,14.48170642,5.899122402,23.46140224,0.274077058,34.12584896,0.584496362,-0.000129983,0.460275601,0.432314959,0.017029362,1.347057006,0.152104743,0.462953241,0.431884727,0.013341962,1.32557353,0.151899505,1.0,0.985504369,0.100542612,1.758362412,0.305003971,0.240499284,0.284174897,-0.016638935,1.000304341,0.111159451,0.078973921,0.048800396,0.021589983,0.096114283,0.013488224,-27.61565178,-16.16121266,41.17749529,0.001770806,0.024153844,0.066462097,0.257325843,0.871337079,-0.010344082250000004,-0.026013586000000005,0.015696563499999983,-0.03742489,0.0001433844999999996
FS100098,Maize,0,4.33,4.04,1.91,23/08/2018,23/08/2018,78.08,2018,33,1.575166821,4.076902361,1.575166821,1.575166821,0.0,8,0.391333333,0.327,0.485,15.8768809,7.724308995,24.54497245,0.474577405,39.56434177,0.63559078,-0.000418819,0.442190032,0.439540392,0.028176161,1.466185484,0.154101822,0.427462425,0.455232795,0.028485973,1.435840033,0.157733658,1.0,0.865426984,0.08967223,1.874514818,0.271815091,0.233804914,0.160854197,-0.031539887,1.071428537,0.077074125,0.096262052,0.07274719,0.018254032,0.140639501,0.020107018,-29.06083283,-16.18895836,41.17651232,0.001277956,0.02416489,0.050522752,0.180097122,0.909951439,0.0006656930000000042,-0.00602852299999999,0.039709492666666645,0.0024084776666666676,0.0037155996666666676
