Yield_mean,Predicted_Yield,Prediction_Uncertainty,Crop_type,FIELDID,Week
4.04,4.1197634,0.50301,Maize,FS100098,6
4.04,4.5978723,0.4529623,Maize,FS100098,7
4.04,3.516534,0.48145422,Maize,FS100098,11
4.04,4.5346317,0.49431565,Maize,FS100098,14
4.04,3.8130064,0.43472388,Maize,FS100098,19
4.04,4.475098,0.46308002,Maize,FS100098,21
4.04,4.0994296,0.4456729,Maize,FS100098,24
4.04,4.4725666,0.8060452,Maize,FS100098,26
4.04,4.043125,0.78512347,Maize,FS100098,30
4.04,4.280028,0.628941,Maize,FS100098,33
4.04,4.2026806,0.61745197,Maize,FS100098,35
4.04,4.11176,0.6847196,Maize,FS100098,36
4.04,3.4204276,0.39951554,Maize,FS100098,38
4.04,3.4358563,0.39061058,Maize,FS100098,40
4.04,3.5257006,0.5421818,Maize,FS100098,42
4.04,3.4565895,0.41359043,Maize,FS100098,48
4.04,3.4410684,0.54205716,Maize,FS100098,52
1.72,2.7260008,0.81326073,Maize,FS100098,3
1.72,3.468999,0.71573794,Maize,FS100098,19
1.72,3.9345233,0.48560742,Maize,FS100098,20
1.72,3.864805,0.97884995,Maize,FS100098,22
1.72,3.5973794,0.521663,Maize,FS100098,26
1.72,3.4202979,0.6024615,Maize,FS100098,27
1.72,4.121929,0.6308161,Maize,FS100098,29
1.72,3.649145,0.5440582,Maize,FS100098,32
1.72,2.4318914,0.6502471,Maize,FS100098,36
1.72,2.995032,0.46184012,Maize,FS100098,38
1.72,2.8163328,0.5188949,Maize,FS100098,39
1.72,3.158856,0.77792114,Maize,FS100098,41
1.72,2.9585176,0.73862964,Maize,FS100098,43
1.72,3.175498,0.65457344,Maize,FS100098,48
2.36,3.3179712,0.4475912,Maize,FS101335,6
2.36,4.0364175,0.32880834,Maize,FS101335,8
2.36,4.2673354,0.38801587,Maize,FS101335,10
2.36,3.9099154,0.45211595,Maize,FS101335,13
2.36,4.312691,0.41581312,Maize,FS101335,16
2.36,3.476009,0.47524005,Maize,FS101335,18
2.36,3.2376065,0.46963292,Maize,FS101335,20
2.36,3.4652064,0.42129162,Maize,FS101335,23
2.36,2.8629458,0.4168255,Maize,FS101335,25
2.36,3.6743765,0.49389333,Maize,FS101335,28
2.36,3.5020406,0.42015663,Maize,FS101335,32
2.36,3.5400934,0.3791806,Maize,FS101335,34
2.36,3.772875,0.3775829,Maize,FS101335,35
2.36,3.196275,0.4418246,Maize,FS101335,37
2.36,3.807867,0.5708112,Maize,FS101335,39
2.36,2.9986029,0.6316619,Maize,FS101335,42
2.36,3.329227,0.73864424,Maize,FS101335,47
2.36,3.2075388,0.70498276,Maize,FS101335,51
5.06,4.769936,0.4538586,Maize,FS101335,11
5.06,5.250891,0.22725019,Maize,FS101335,15
5.06,4.960752,0.26017812,Maize,FS101335,17
5.06,4.7219195,0.29962844,Maize,FS101335,18
5.06,5.113146,0.3640686,Maize,FS101335,20
5.06,4.695678,0.24741472,Maize,FS101335,23
5.06,4.385359,0.27731693,Maize,FS101335,25
5.06,4.691416,0.3001449,Maize,FS101335,27
5.06,4.637044,0.39685395,Maize,FS101335,30
5.06,4.8340545,0.34903723,Maize,FS101335,34
5.06,4.434981,0.48715296,Maize,FS101335,37
5.06,4.8072605,0.3627515,Maize,FS101335,39
5.06,4.531342,0.40583435,Maize,FS101335,41
5.06,5.0231037,0.38093355,Maize,FS101335,46
5.06,4.953824,0.46317402,Maize,FS101335,47
1.14,1.8028569,0.5385774,Maize,FS101335,6
1.14,1.7238019,0.49655735,Maize,FS101335,7
1.14,1.9269656,0.54036146,Maize,FS101335,11
1.14,1.2275203,0.29809532,Maize,FS101335,14
1.14,1.7514863,0.4507376,Maize,FS101335,18
1.14,1.1063668,0.3560964,Maize,FS101335,21
1.14,1.279551,0.4208531,Maize,FS101335,23
1.14,1.8851341,0.53244406,Maize,FS101335,26
1.14,1.6286709,0.6162645,Maize,FS101335,28
1.14,1.0004424,0.41052717,Maize,FS101335,30
1.14,1.2439988,0.3704071,Maize,FS101335,31
1.14,1.1686765,0.33632213,Maize,FS101335,33
1.14,1.2943534,0.36841175,Maize,FS101335,40
1.14,1.6362114,0.4356039,Maize,FS101335,42
1.14,1.117794,0.5661971,Maize,FS101335,47
1.14,1.6826832,0.4372663,Maize,FS101335,50
1.75,2.5144618,0.4439371,Maize,FS102154,6
1.75,3.0930014,0.5451483,Maize,FS102154,7
1.75,2.6865602,0.48707202,Maize,FS102154,11
1.75,3.6440084,0.6872464,Maize,FS102154,14
1.75,2.5049946,0.5001513,Maize,FS102154,19
1.75,3.8253946,0.64758235,Maize,FS102154,21
1.75,3.6674368,0.6356773,Maize,FS102154,24
1.75,2.6641445,0.3712271,Maize,FS102154,26
1.75,2.4774032,0.5638282,Maize,FS102154,30
1.75,2.5090177,0.56640893,Maize,FS102154,33
1.75,2.353964,0.49544138,Maize,FS102154,35
1.75,1.870851,0.3722576,Maize,FS102154,36
1.75,1.7774091,0.38852224,Maize,FS102154,38
1.75,1.7875377,0.31334147,Maize,FS102154,40
1.75,1.7617761,0.32009536,Maize,FS102154,42
1.75,2.3199265,0.69583,Maize,FS102154,48
1.75,2.0584438,0.46894318,Maize,FS102154,52
3.37,3.7221832,0.36497477,Maize,FS102154,6
3.37,4.2527156,0.33834967,Maize,FS102154,8
3.37,4.232481,0.343644,Maize,FS102154,10
3.37,3.736747,0.44628778,Maize,FS102154,13
3.37,4.3023057,0.32723922,Maize,FS102154,16
3.37,3.4634025,0.46681738,Maize,FS102154,18
3.37,3.4101603,0.40492418,Maize,FS102154,20
3.37,3.5461829,0.3368741,Maize,FS102154,23
3.37,3.272452,0.38125402,Maize,FS102154,25
3.37,3.5672684,0.520751,Maize,FS102154,28
3.37,3.5062003,0.52463424,Maize,FS102154,32
3.37,3.2554862,0.40366784,Maize,FS102154,34
3.37,3.2114902,0.39850593,Maize,FS102154,35
3.37,3.1990108,0.28153667,Maize,FS102154,37
3.37,3.7920597,0.514881,Maize,FS102154,39
3.37,3.1903205,0.71366215,Maize,FS102154,42
3.37,3.205754,0.51733774,Maize,FS102154,47
3.37,3.2840197,0.62784684,Maize,FS102154,51
0.67,1.5837306,0.502612,Maize,FS102154,6
0.67,1.661594,0.48121142,Maize,FS102154,7
0.67,1.8253902,0.56513345,Maize,FS102154,11
0.67,1.0977409,0.3142775,Maize,FS102154,14
0.67,1.6046318,0.46312705,Maize,FS102154,18
0.67,1.0066563,0.31624317,Maize,FS102154,21
0.67,1.1719761,0.3588219,Maize,FS102154,23
0.67,1.6649739,0.5356023,Maize,FS102154,26
0.67,2.2010176,0.6044232,Maize,FS102154,28
0.67,1.3754487,0.55120844,Maize,FS102154,30
0.67,1.6070257,0.6787079,Maize,FS102154,31
0.67,1.1469964,0.41843933,Maize,FS102154,33
0.67,1.146188,0.3677501,Maize,FS102154,40
0.67,1.2822689,0.4247909,Maize,FS102154,42
0.67,1.0927112,0.50271624,Maize,FS102154,47
0.67,1.5619692,0.3999624,Maize,FS102154,50
6.44,5.2020283,0.608984,Maize,FS103223,6
6.44,5.386774,0.40987155,Maize,FS103223,7
6.44,5.606337,0.7848825,Maize,FS103223,11
6.44,5.399529,0.4818165,Maize,FS103223,14
6.44,4.9603977,0.71003866,Maize,FS103223,19
6.44,5.3560567,0.43714747,Maize,FS103223,21
6.44,4.6267495,0.5745197,Maize,FS103223,24
6.44,4.9518957,1.0198178,Maize,FS103223,26
6.44,5.2183986,0.6339265,Maize,FS103223,30
6.44,5.373312,0.71551526,Maize,FS103223,33
6.44,4.6190434,0.8184151,Maize,FS103223,35
6.44,4.525011,0.92361695,Maize,FS103223,36
6.44,3.9229724,0.83337843,Maize,FS103223,38
6.44,4.4538255,0.7022446,Maize,FS103223,40
6.44,4.5446115,0.9097673,Maize,FS103223,42
6.44,4.2527156,0.8533359,Maize,FS103223,48
6.44,4.3248897,0.9374297,Maize,FS103223,52
2.66,2.7265992,0.4418261,Maize,FS103223,3
2.66,3.4222639,0.4195243,Maize,FS103223,19
2.66,3.9816902,0.37985873,Maize,FS103223,20
2.66,4.23461,0.578441,Maize,FS103223,22
2.66,3.6887193,0.4345126,Maize,FS103223,26
2.66,3.7166965,0.45747814,Maize,FS103223,27
2.66,5.000318,0.60828924,Maize,FS103223,29
2.66,3.671648,0.46137556,Maize,FS103223,32
2.66,3.5085015,0.6690166,Maize,FS103223,36
2.66,3.5815399,0.41759935,Maize,FS103223,38
2.66,2.9489603,0.43688712,Maize,FS103223,39
2.66,3.3601916,0.53327245,Maize,FS103223,41
2.66,3.2687905,0.61872274,Maize,FS103223,43
2.66,3.532667,0.6155838,Maize,FS103223,48
5.18,4.4859614,0.26811966,Maize,FS103223,6
5.18,4.9372716,0.2163407,Maize,FS103223,8
5.18,5.160718,0.18024793,Maize,FS103223,10
5.18,5.344885,0.19737384,Maize,FS103223,13
5.18,5.393256,0.18589047,Maize,FS103223,16
5.18,4.4587393,0.31635952,Maize,FS103223,18
5.18,4.5549803,0.36972782,Maize,FS103223,20
5.18,4.4998174,0.31877044,Maize,FS103223,23
5.18,3.9787564,0.46406436,Maize,FS103223,25
5.18,4.627348,0.40719977,Maize,FS103223,28
5.18,4.329815,0.372244,Maize,FS103223,32
5.18,4.439783,0.40437213,Maize,FS103223,34
5.18,4.0727644,0.40027735,Maize,FS103223,35
5.18,4.022006,0.55332917,Maize,FS103223,37
5.18,4.4830747,0.40005192,Maize,FS103223,39
5.18,3.9000993,0.6993148,Maize,FS103223,42
5.18,4.0908113,0.5232349,Maize,FS103223,47
5.18,5.325564,0.27739725,Maize,FS103223,51
5.25,5.269441,0.3384615,Maize,FS103223,11
5.25,6.006019,0.26874462,Maize,FS103223,15
5.25,5.6071625,0.29424682,Maize,FS103223,17
5.25,5.4579606,0.26034242,Maize,FS103223,18
5.25,5.8687215,0.46603188,Maize,FS103223,20
5.25,5.3803344,0.36649537,Maize,FS103223,23
5.25,5.207094,0.47715786,Maize,FS103223,25
5.25,5.4304366,0.41266993,Maize,FS103223,27
5.25,5.5272865,0.48477983,Maize,FS103223,30
5.25,5.3028483,0.4891467,Maize,FS103223,34
5.25,5.209117,0.4219843,Maize,FS103223,37
5.25,5.432074,0.41362637,Maize,FS103223,39
5.25,5.5392284,0.507288,Maize,FS103223,41
5.25,5.551483,0.47056147,Maize,FS103223,46
5.25,5.7088294,0.49727607,Maize,FS103223,47
5.05,5.6965885,0.464415,Maize,FS103223,7
5.05,5.5174775,0.3491286,Maize,FS103223,9
5.05,5.403462,0.32649815,Maize,FS103223,10
5.05,6.49976,0.3716997,Maize,FS103223,14
5.05,6.464999,0.4510895,Maize,FS103223,17
5.05,6.3541145,0.6063222,Maize,FS103223,21
5.05,5.505886,0.5515115,Maize,FS103223,24
5.05,5.9216967,0.39609876,Maize,FS103223,26
5.05,6.002941,0.59803534,Maize,FS103223,27
5.05,5.6775713,0.37823406,Maize,FS103223,29
5.05,6.03997,0.6599108,Maize,FS103223,33
5.05,5.992521,0.43849263,Maize,FS103223,34
5.05,5.765189,0.5924465,Maize,FS103223,36
5.05,5.8397202,0.59298027,Maize,FS103223,39
5.05,6.0937114,0.44556722,Maize,FS103223,45
5.05,5.5768795,0.52803373,Maize,FS103223,46
5.05,5.742811,0.69591975,Maize,FS103223,50
5.05,6.192947,0.55094355,Maize,FS103223,52
2.49,2.9789526,0.7146341,Maize,FS104711,6
2.49,3.9834647,0.530284,Maize,FS104711,7
2.49,3.893729,0.63875955,Maize,FS104711,11
2.49,4.380075,0.5795404,Maize,FS104711,14
2.49,3.4561765,0.83684415,Maize,FS104711,19
2.49,4.5591927,0.71682286,Maize,FS104711,21
2.49,4.084764,0.7366082,Maize,FS104711,24
2.49,3.6540976,0.92204916,Maize,FS104711,26
2.49,3.5399377,0.70634377,Maize,FS104711,30
2.49,3.775612,0.6572741,Maize,FS104711,33
2.49,3.350624,0.6808944,Maize,FS104711,35
2.49,3.2177029,0.82309985,Maize,FS104711,36
2.49,3.5261917,0.57966286,Maize,FS104711,38
2.49,3.568332,0.6846877,Maize,FS104711,40
2.49,3.0350995,0.51652396,Maize,FS104711,42
2.49,3.1147432,0.563436,Maize,FS104711,48
2.49,3.7561405,0.9592365,Maize,FS104711,52
1.81,2.1844282,0.52138174,Maize,FS104711,3
1.81,2.7431219,0.4148122,Maize,FS104711,19
1.81,3.6416407,0.50357133,Maize,FS104711,20
1.81,4.0065527,0.7231874,Maize,FS104711,22
1.81,3.2704372,0.5131148,Maize,FS104711,26
1.81,3.2532978,0.55139357,Maize,FS104711,27
1.81,3.9608526,0.6639081,Maize,FS104711,29
1.81,3.4976041,0.85673577,Maize,FS104711,32
1.81,2.1961746,0.46968403,Maize,FS104711,36
1.81,2.572292,0.52302796,Maize,FS104711,38
1.81,2.2479417,0.60383576,Maize,FS104711,39
1.81,2.2916012,0.47080877,Maize,FS104711,41
1.81,2.157225,0.47586203,Maize,FS104711,43
