Week,Crop_type,mean_uncertainty,std_uncertainty,count
2,Lucern,0.72464967,0.367768,4
2,Maize,0.23241054,0.09043015,153
2,Soy,0.079429604,0.034832317,190
2,Sunflower,0.26782924,0.06425326,5
2,Wheat,0.12935,0.009917542,3
3,Lucern,0.24241021,0.15085626,10
3,Maize,0.2058234,0.095135026,470
3,Soy,0.07903061,0.056729924,247
3,Sunflower,0.20922375,0.05891886,17
3,Wheat,0.12696609,0.004076862,3
4,Lucern,0.18208788,0.048321046,10
4,Maize,0.17798857,0.076589964,482
4,Soy,0.0604633,0.028146343,250
4,Sunflower,0.1861615,0.077653304,11
4,Wheat,0.104793295,0.008474816,4
5,Lucern,0.2057178,0.20392641,10
5,Maize,0.16504945,0.083940536,388
5,Soy,0.07691038,0.031910006,267
5,Sunflower,0.12360168,0.044497196,29
5,Wheat,0.12781748,0.009772623,6
6,Lucern,0.21060696,0.034098443,5
6,Maize,0.215733,0.113405146,765
6,Soy,0.094890974,0.08245313,187
6,Sunflower,0.14283665,0.053522155,53
6,Wheat,0.114352435,0.0046953065,2
7,Lucern,0.35259855,0.28347594,12
7,Maize,0.21338403,0.106824666,824
7,Soy,0.080933765,0.07058473,312
7,Sunflower,0.1502691,0.060651414,44
7,Wheat,0.08979063,0.003968061,5
8,Lucern,0.28880283,0.1320301,4
8,Maize,0.1940896,0.07179312,622
8,Soy,0.10482143,0.045297768,20
8,Sunflower,0.092691965,0.048805736,123
8,Wheat,0.10372739,0.01618119,4
9,Lucern,0.15065937,0.13807318,11
9,Maize,0.16597778,0.08468557,538
9,Soy,0.06756333,0.039191715,289
9,Sunflower,0.12560147,0.046425857,70
9,Wheat,0.09234804,0.00822821,6
10,Lucern,0.15568212,0.06295473,12
10,Maize,0.18091951,0.08817679,837
10,Soy,0.07413446,0.044809867,289
10,Sunflower,0.107787415,0.05393942,170
11,Lucern,0.2178936,0.25040516,12
11,Maize,0.1895283,0.11934341,905
11,Soy,0.087602265,0.061001796,255
11,Sunflower,0.110366695,0.055835526,161
12,Lucern,0.18959627,0.27608287,10
12,Maize,0.14571787,0.06520658,411
12,Soy,0.06509943,0.023143245,249
