Yield_mean,Predicted_Yield,Prediction_Uncertainty,Crop_type,FIELDID,Year,Week
4.04,3.2180076,0.68658274,Maize,FS100098,2018,6
4.04,3.8853858,0.6722172,Maize,FS100098,2018,7
4.04,3.1471174,0.6575977,Maize,FS100098,2018,11
4.04,3.2904465,0.621152,Maize,FS100098,2018,14
4.04,3.255112,0.55479485,Maize,FS100098,2018,19
4.04,3.5370417,0.56131977,Maize,FS100098,2018,21
4.04,3.3812943,0.51706403,Maize,FS100098,2018,24
4.04,4.0238223,0.67172766,Maize,FS100098,2018,26
4.04,3.9362803,0.6601784,Maize,FS100098,2018,30
4.04,3.708953,0.691669,Maize,FS100098,2018,33
4.04,3.0513828,0.5493937,Maize,FS100098,2018,35
4.04,3.2198718,0.51460063,Maize,FS100098,2018,36
4.04,3.0558093,0.59603524,Maize,FS100098,2018,38
4.04,3.1831472,0.586168,Maize,FS100098,2018,40
4.04,3.2032874,0.64354646,Maize,FS100098,2018,42
4.04,3.117798,0.6864897,Maize,FS100098,2018,48
4.04,3.4233713,0.52179015,Maize,FS100098,2018,52
1.72,1.9709543,0.52639854,Maize,FS100098,2019,3
1.72,2.2003596,0.4052762,Maize,FS100098,2019,19
1.72,2.1383147,0.38063106,Maize,FS100098,2019,20
1.72,2.1345968,0.56018597,Maize,FS100098,2019,22
1.72,2.03119,0.36631024,Maize,FS100098,2019,26
1.72,2.4057178,0.4971519,Maize,FS100098,2019,27
1.72,2.6365943,0.66712856,Maize,FS100098,2019,29
1.72,2.0184479,0.40998158,Maize,FS100098,2019,32
1.72,1.9359653,0.40207025,Maize,FS100098,2019,36
1.72,2.297792,0.43639275,Maize,FS100098,2019,38
1.72,1.8755382,0.3027235,Maize,FS100098,2019,39
1.72,2.0610614,0.40904734,Maize,FS100098,2019,41
1.72,2.277143,0.54221696,Maize,FS100098,2019,43
1.72,2.249535,0.5056921,Maize,FS100098,2019,48
2.36,2.089703,0.33360064,Maize,FS101335,2020,6
2.36,2.5095398,0.28129503,Maize,FS101335,2020,8
2.36,3.2381616,0.9135517,Maize,FS101335,2020,10
2.36,2.5423625,0.2982654,Maize,FS101335,2020,13
2.36,2.9576347,0.6723664,Maize,FS101335,2020,16
2.36,2.668417,0.44832668,Maize,FS101335,2020,18
