Yield_mean,Predicted_Yield,Crop_type,FIELDID,Year,Week
4.04,3.5419316,Maize,FS100098,2018,6
4.04,4.379098,Maize,FS100098,2018,7
4.04,3.4772878,Maize,FS100098,2018,11
4.04,3.7592037,Maize,FS100098,2018,14
4.04,3.535831,Maize,FS100098,2018,19
4.04,2.9146862,Maize,FS100098,2018,21
4.04,3.2678537,Maize,FS100098,2018,24
4.04,4.556524,Maize,FS100098,2018,26
4.04,4.5044227,Maize,FS100098,2018,30
4.04,4.6970906,Maize,FS100098,2018,33
4.04,2.8510766,Maize,FS100098,2018,35
4.04,3.0250459,Maize,FS100098,2018,36
4.04,3.3992121,Maize,FS100098,2018,38
4.04,3.2722983,Maize,FS100098,2018,40
4.04,3.4245594,Maize,FS100098,2018,42
4.04,3.3120098,Maize,FS100098,2018,48
4.04,3.383439,Maize,FS100098,2018,52
1.72,1.8086542,Maize,FS100098,2019,3
1.72,2.160783,Maize,FS100098,2019,19
1.72,1.7945187,Maize,FS100098,2019,20
1.72,2.067252,Maize,FS100098,2019,22
1.72,2.150255,Maize,FS100098,2019,26
1.72,2.160843,Maize,FS100098,2019,27
1.72,2.281557,Maize,FS100098,2019,29
1.72,2.0684872,Maize,FS100098,2019,32
1.72,1.8178158,Maize,FS100098,2019,36
1.72,2.1713421,Maize,FS100098,2019,38
1.72,1.8204387,Maize,FS100098,2019,39
1.72,1.9400058,Maize,FS100098,2019,41
1.72,1.8077699,Maize,FS100098,2019,43
1.72,1.9603512,Maize,FS100098,2019,48
2.36,2.0783885,Maize,FS101335,2020,6
2.36,2.7173636,Maize,FS101335,2020,8
2.36,2.6476343,Maize,FS101335,2020,10
2.36,2.9465091,Maize,FS101335,2020,13
2.36,2.491286,Maize,FS101335,2020,16
2.36,2.5112195,Maize,FS101335,2020,18
2.36,2.811224,Maize,FS101335,2020,20
2.36,2.4528837,Maize,FS101335,2020,23
2.36,2.7595158,Maize,FS101335,2020,25
2.36,2.8477266,Maize,FS101335,2020,28
2.36,2.583801,Maize,FS101335,2020,32
2.36,2.474799,Maize,FS101335,2020,34
2.36,2.6381648,Maize,FS101335,2020,35
2.36,2.4814236,Maize,FS101335,2020,37
2.36,2.4939861,Maize,FS101335,2020,39
2.36,2.6312618,Maize,FS101335,2020,42
2.36,2.7484694,Maize,FS101335,2020,47
2.36,2.883723,Maize,FS101335,2020,51
5.06,4.6075296,Maize,FS101335,2021,11
5.06,4.70953,Maize,FS101335,2021,15
5.06,4.971807,Maize,FS101335,2021,17
5.06,5.0773063,Maize,FS101335,2021,18
5.06,5.0483294,Maize,FS101335,2021,20
5.06,4.8743505,Maize,FS101335,2021,23
5.06,4.75033,Maize,FS101335,2021,25
5.06,5.0416183,Maize,FS101335,2021,27
5.06,5.1878524,Maize,FS101335,2021,30
5.06,4.7689104,Maize,FS101335,2021,34
5.06,4.5778837,Maize,FS101335,2021,37
5.06,4.6349134,Maize,FS101335,2021,39
5.06,4.826644,Maize,FS101335,2021,41
5.06,5.107443,Maize,FS101335,2021,46
5.06,5.150292,Maize,FS101335,2021,47
1.14,0.9252591,Maize,FS101335,2022,6
1.14,0.9148579,Maize,FS101335,2022,7
1.14,1.0250227,Maize,FS101335,2022,11
1.14,1.0486007,Maize,FS101335,2022,14
1.14,0.939971,Maize,FS101335,2022,18
1.14,1.0172893,Maize,FS101335,2022,21
1.14,1.2780857,Maize,FS101335,2022,23
1.14,0.74770004,Maize,FS101335,2022,26
1.14,0.8439517,Maize,FS101335,2022,28
1.14,1.3565862,Maize,FS101335,2022,30
1.14,0.91322124,Maize,FS101335,2022,31
1.14,0.846809,Maize,FS101335,2022,33
1.14,0.9728846,Maize,FS101335,2022,40
1.14,1.4189267,Maize,FS101335,2022,42
1.14,1.0371652,Maize,FS101335,2022,47
1.14,1.024928,Maize,FS101335,2022,50
1.75,1.6137557,Maize,FS102154,2018,6
1.75,1.7953892,Maize,FS102154,2018,7
1.75,1.8683243,Maize,FS102154,2018,11
1.75,1.9609077,Maize,FS102154,2018,14
1.75,1.7310354,Maize,FS102154,2018,19
1.75,1.7897775,Maize,FS102154,2018,21
1.75,1.8156911,Maize,FS102154,2018,24
1.75,1.5860242,Maize,FS102154,2018,26
1.75,1.6890875,Maize,FS102154,2018,30
1.75,1.9897671,Maize,FS102154,2018,33
1.75,1.8505459,Maize,FS102154,2018,35
1.75,1.8043169,Maize,FS102154,2018,36
1.75,1.4184816,Maize,FS102154,2018,38
1.75,1.6189818,Maize,FS102154,2018,40
1.75,1.9072521,Maize,FS102154,2018,42
1.75,1.6269104,Maize,FS102154,2018,48
1.75,1.8647817,Maize,FS102154,2018,52
3.37,3.32129,Maize,FS102154,2020,6
3.37,3.320225,Maize,FS102154,2020,8
3.37,3.336074,Maize,FS102154,2020,10
3.37,3.3602123,Maize,FS102154,2020,13
3.37,3.3401434,Maize,FS102154,2020,16
3.37,3.2815952,Maize,FS102154,2020,18
3.37,3.1716678,Maize,FS102154,2020,20
3.37,3.2570474,Maize,FS102154,2020,23
3.37,3.3312519,Maize,FS102154,2020,25
3.37,3.127552,Maize,FS102154,2020,28
3.37,3.0949361,Maize,FS102154,2020,32
3.37,3.0092456,Maize,FS102154,2020,34
3.37,3.131518,Maize,FS102154,2020,35
3.37,3.3913558,Maize,FS102154,2020,37
3.37,3.0297248,Maize,FS102154,2020,39
3.37,3.2891119,Maize,FS102154,2020,42
3.37,3.4024312,Maize,FS102154,2020,47
3.37,2.9790616,Maize,FS102154,2020,51
0.67,0.8000485,Maize,FS102154,2022,6
0.67,0.6150191,Maize,FS102154,2022,7
0.67,0.56621194,Maize,FS102154,2022,11
0.67,0.6057631,Maize,FS102154,2022,14
0.67,0.8601797,Maize,FS102154,2022,18
0.67,0.6246851,Maize,FS102154,2022,21
0.67,0.4830168,Maize,FS102154,2022,23
0.67,0.6315505,Maize,FS102154,2022,26
0.67,0.46517572,Maize,FS102154,2022,28
0.67,0.89913666,Maize,FS102154,2022,30
0.67,0.99708307,Maize,FS102154,2022,31
0.67,0.91024023,Maize,FS102154,2022,33
0.67,0.76662,Maize,FS102154,2022,40
0.67,0.4915166,Maize,FS102154,2022,42
0.67,0.7859188,Maize,FS102154,2022,47
0.67,0.7498682,Maize,FS102154,2022,50
6.44,5.9131894,Maize,FS103223,2018,6
6.44,5.591949,Maize,FS103223,2018,7
6.44,6.2648406,Maize,FS103223,2018,11
6.44,6.208733,Maize,FS103223,2018,14
6.44,5.986001,Maize,FS103223,2018,19
6.44,5.754981,Maize,FS103223,2018,21
6.44,5.748988,Maize,FS103223,2018,24
6.44,5.9419146,Maize,FS103223,2018,26
6.44,5.542844,Maize,FS103223,2018,30
6.44,5.1480665,Maize,FS103223,2018,33
6.44,5.486337,Maize,FS103223,2018,35
6.44,5.2744665,Maize,FS103223,2018,36
6.44,5.3681326,Maize,FS103223,2018,38
6.44,5.597637,Maize,FS103223,2018,40
6.44,5.411754,Maize,FS103223,2018,42
6.44,5.212657,Maize,FS103223,2018,48
6.44,5.7926407,Maize,FS103223,2018,52
2.66,2.825837,Maize,FS103223,2019,3
2.66,3.3315427,Maize,FS103223,2019,19
2.66,3.1643372,Maize,FS103223,2019,20
2.66,3.2950149,Maize,FS103223,2019,22
2.66,3.4564703,Maize,FS103223,2019,26
2.66,3.5777209,Maize,FS103223,2019,27
2.66,3.6720033,Maize,FS103223,2019,29
2.66,3.2266195,Maize,FS103223,2019,32
2.66,3.0495641,Maize,FS103223,2019,36
2.66,3.5880668,Maize,FS103223,2019,38
2.66,3.1969259,Maize,FS103223,2019,39
2.66,3.3834639,Maize,FS103223,2019,41
2.66,3.447141,Maize,FS103223,2019,43
2.66,2.8877683,Maize,FS103223,2019,48
5.18,4.8782053,Maize,FS103223,2020,6
5.18,4.4438043,Maize,FS103223,2020,8
5.18,4.30767,Maize,FS103223,2020,10
5.18,4.9375105,Maize,FS103223,2020,13
5.18,4.76835,Maize,FS103223,2020,16
5.18,4.6418896,Maize,FS103223,2020,18
5.18,4.849893,Maize,FS103223,2020,20
5.18,4.7696457,Maize,FS103223,2020,23
5.18,4.5588536,Maize,FS103223,2020,25
5.18,4.875018,Maize,FS103223,2020,28
5.18,4.9385653,Maize,FS103223,2020,32
5.18,4.771799,Maize,FS103223,2020,34
5.18,4.8134613,Maize,FS103223,2020,35
5.18,4.4722047,Maize,FS103223,2020,37
5.18,4.780499,Maize,FS103223,2020,39
5.18,4.7300816,Maize,FS103223,2020,42
5.18,4.5357456,Maize,FS103223,2020,47
5.18,4.651888,Maize,FS103223,2020,51
5.25,5.235421,Maize,FS103223,2021,11
5.25,5.0463753,Maize,FS103223,2021,15
5.25,5.1464477,Maize,FS103223,2021,17
5.25,5.60733,Maize,FS103223,2021,18
5.25,5.2155266,Maize,FS103223,2021,20
5.25,5.2149496,Maize,FS103223,2021,23
5.25,5.2824097,Maize,FS103223,2021,25
5.25,5.2861576,Maize,FS103223,2021,27
5.25,5.123097,Maize,FS103223,2021,30
5.25,4.981913,Maize,FS103223,2021,34
5.25,5.298422,Maize,FS103223,2021,37
5.25,5.287527,Maize,FS103223,2021,39
5.25,5.4545307,Maize,FS103223,2021,41
5.25,5.0514884,Maize,FS103223,2021,46
5.25,5.3885655,Maize,FS103223,2021,47
5.05,5.3743362,Maize,FS103223,2023,7
5.05,5.326704,Maize,FS103223,2023,9
5.05,5.3796477,Maize,FS103223,2023,10
5.05,5.7796993,Maize,FS103223,2023,14
5.05,5.636515,Maize,FS103223,2023,17
5.05,5.3192377,Maize,FS103223,2023,21
5.05,5.71182,Maize,FS103223,2023,24
5.05,5.1462045,Maize,FS103223,2023,26
5.05,5.5826693,Maize,FS103223,2023,27
5.05,5.671098,Maize,FS103223,2023,29
5.05,5.314832,Maize,FS103223,2023,33
5.05,5.568849,Maize,FS103223,2023,34
5.05,5.3989706,Maize,FS103223,2023,36
5.05,5.5049505,Maize,FS103223,2023,39
5.05,6.014984,Maize,FS103223,2023,45
5.05,5.4359045,Maize,FS103223,2023,46
5.05,5.9721184,Maize,FS103223,2023,50
5.05,6.3575163,Maize,FS103223,2023,52
2.49,2.5108466,Maize,FS104711,2018,6
2.49,2.6485162,Maize,FS104711,2018,7
2.49,2.391821,Maize,FS104711,2018,11
2.49,2.6068025,Maize,FS104711,2018,14
2.49,2.6581388,Maize,FS104711,2018,19
2.49,2.7360198,Maize,FS104711,2018,21
2.49,2.5791984,Maize,FS104711,2018,24
2.49,2.2817998,Maize,FS104711,2018,26
2.49,2.3438838,Maize,FS104711,2018,30
2.49,2.6562378,Maize,FS104711,2018,33
2.49,2.9220586,Maize,FS104711,2018,35
2.49,2.5815923,Maize,FS104711,2018,36
2.49,2.7125764,Maize,FS104711,2018,38
2.49,2.4545085,Maize,FS104711,2018,40
2.49,3.0005715,Maize,FS104711,2018,42
2.49,2.579621,Maize,FS104711,2018,48
2.49,2.425089,Maize,FS104711,2018,52
1.81,1.8701317,Maize,FS104711,2019,3
1.81,1.7149317,Maize,FS104711,2019,19
1.81,1.472126,Maize,FS104711,2019,20
1.81,1.6305953,Maize,FS104711,2019,22
1.81,1.7534008,Maize,FS104711,2019,26
1.81,1.5370181,Maize,FS104711,2019,27
1.81,1.7797264,Maize,FS104711,2019,29
1.81,2.021363,Maize,FS104711,2019,32
1.81,1.7532545,Maize,FS104711,2019,36
1.81,1.7844776,Maize,FS104711,2019,38
1.81,1.6663071,Maize,FS104711,2019,39
1.81,1.6431862,Maize,FS104711,2019,41
1.81,1.3595154,Maize,FS104711,2019,43
1.81,1.9544803,Maize,FS104711,2019,48
3.15,3.0252562,Maize,FS104711,2022,6
3.15,2.8998256,Maize,FS104711,2022,7
3.15,2.9850657,Maize,FS104711,2022,11
3.15,2.9937148,Maize,FS104711,2022,14
3.15,2.662314,Maize,FS104711,2022,18
3.15,2.7986937,Maize,FS104711,2022,21
3.15,3.2630088,Maize,FS104711,2022,23
3.15,2.9546096,Maize,FS104711,2022,26
3.15,2.690115,Maize,FS104711,2022,28
3.15,2.922143,Maize,FS104711,2022,30
3.15,2.9716382,Maize,FS104711,2022,31
3.15,2.8223994,Maize,FS104711,2022,33
3.15,3.0891676,Maize,FS104711,2022,40
3.15,3.0052855,Maize,FS104711,2022,42
3.15,3.144383,Maize,FS104711,2022,47
3.15,2.9622667,Maize,FS104711,2022,50
4.96,4.82131,Maize,FS105305,2021,11
4.96,5.0072107,Maize,FS105305,2021,15
4.96,5.182731,Maize,FS105305,2021,17
4.96,5.0045333,Maize,FS105305,2021,18
4.96,5.244489,Maize,FS105305,2021,20
4.96,5.0863,Maize,FS105305,2021,23
4.96,5.1671224,Maize,FS105305,2021,25
4.96,5.0320415,Maize,FS105305,2021,27
4.96,5.1096973,Maize,FS105305,2021,30
4.96,4.905344,Maize,FS105305,2021,34
4.96,5.041653,Maize,FS105305,2021,37
4.96,4.890169,Maize,FS105305,2021,39
4.96,5.1514254,Maize,FS105305,2021,41
4.96,5.0570564,Maize,FS105305,2021,46
4.96,4.9446507,Maize,FS105305,2021,47
6.71,6.486062,Maize,FS105305,2023,7
6.71,6.608833,Maize,FS105305,2023,9
6.71,6.4377356,Maize,FS105305,2023,10
6.71,6.463729,Maize,FS105305,2023,14
6.71,6.7324853,Maize,FS105305,2023,17
6.71,6.718309,Maize,FS105305,2023,21
6.71,6.403491,Maize,FS105305,2023,24
6.71,6.5901318,Maize,FS105305,2023,26
6.71,6.62547,Maize,FS105305,2023,27
6.71,6.8833528,Maize,FS105305,2023,29
6.71,6.7965016,Maize,FS105305,2023,33
6.71,6.683436,Maize,FS105305,2023,34
6.71,6.5967274,Maize,FS105305,2023,36
6.71,6.6561637,Maize,FS105305,2023,39
6.71,6.4847956,Maize,FS105305,2023,45
6.71,6.6324844,Maize,FS105305,2023,46
6.71,6.58924,Maize,FS105305,2023,50
6.71,6.446682,Maize,FS105305,2023,52
8.9,9.089176,Maize,FS105353,2018,6
8.9,8.829265,Maize,FS105353,2018,7
8.9,9.198285,Maize,FS105353,2018,11
8.9,8.810323,Maize,FS105353,2018,14
8.9,8.628932,Maize,FS105353,2018,19
8.9,9.094366,Maize,FS105353,2018,21
8.9,9.042296,Maize,FS105353,2018,24
8.9,8.881838,Maize,FS105353,2018,26
8.9,9.045259,Maize,FS105353,2018,30
8.9,8.569031,Maize,FS105353,2018,33
8.9,8.856093,Maize,FS105353,2018,35
8.9,8.348988,Maize,FS105353,2018,36
8.9,8.683424,Maize,FS105353,2018,38
8.9,8.77499,Maize,FS105353,2018,40
8.9,8.720818,Maize,FS105353,2018,42
8.9,8.872151,Maize,FS105353,2018,48
8.9,8.93608,Maize,FS105353,2018,52
4.68,4.5331035,Maize,FS105353,2019,3
4.68,4.782515,Maize,FS105353,2019,19
4.68,4.708886,Maize,FS105353,2019,20
4.68,4.6984816,Maize,FS105353,2019,22
4.68,4.6708426,Maize,FS105353,2019,26
4.68,4.8297896,Maize,FS105353,2019,27
4.68,4.696707,Maize,FS105353,2019,29
4.68,4.4994593,Maize,FS105353,2019,32
4.68,4.644317,Maize,FS105353,2019,36
4.68,4.75418,Maize,FS105353,2019,38
4.68,4.8002644,Maize,FS105353,2019,39
4.68,4.4843407,Maize,FS105353,2019,41
4.68,4.7551494,Maize,FS105353,2019,43
4.68,5.0265,Maize,FS105353,2019,48
6.57,6.5822573,Maize,FS105353,2021,11
6.57,6.429158,Maize,FS105353,2021,15
6.57,6.2897096,Maize,FS105353,2021,17
6.57,6.574056,Maize,FS105353,2021,18
6.57,6.5975385,Maize,FS105353,2021,20
6.57,6.3515854,Maize,FS105353,2021,23
6.57,6.38971,Maize,FS105353,2021,25
6.57,6.4322333,Maize,FS105353,2021,27
6.57,6.45498,Maize,FS105353,2021,30
6.57,6.429074,Maize,FS105353,2021,34
6.57,6.615164,Maize,FS105353,2021,37
6.57,6.4369345,Maize,FS105353,2021,39
6.57,6.54815,Maize,FS105353,2021,41
6.57,6.4166465,Maize,FS105353,2021,46
6.57,6.6225805,Maize,FS105353,2021,47
8.06,8.004165,Maize,FS105353,2023,7
8.06,7.9300923,Maize,FS105353,2023,9
8.06,7.799044,Maize,FS105353,2023,10
8.06,7.930149,Maize,FS105353,2023,14
8.06,7.9142733,Maize,FS105353,2023,17
8.06,8.1929,Maize,FS105353,2023,21
8.06,7.7325454,Maize,FS105353,2023,24
8.06,8.157874,Maize,FS105353,2023,26
8.06,8.026634,Maize,FS105353,2023,27
8.06,7.889442,Maize,FS105353,2023,29
8.06,7.7938266,Maize,FS105353,2023,33
8.06,8.090276,Maize,FS105353,2023,34
8.06,8.137933,Maize,FS105353,2023,36
8.06,8.075287,Maize,FS105353,2023,39
8.06,8.090065,Maize,FS105353,2023,45
8.06,7.8023987,Maize,FS105353,2023,46
8.06,8.098747,Maize,FS105353,2023,50
8.06,7.901866,Maize,FS105353,2023,52
6.49,6.673826,Maize,FS105389,2018,6
6.49,6.4153867,Maize,FS105389,2018,7
6.49,6.1241846,Maize,FS105389,2018,11
6.49,6.191168,Maize,FS105389,2018,14
6.49,6.6318436,Maize,FS105389,2018,19
6.49,6.584232,Maize,FS105389,2018,21
6.49,6.195775,Maize,FS105389,2018,24
6.49,6.98825,Maize,FS105389,2018,26
6.49,6.5569763,Maize,FS105389,2018,30
6.49,6.5008755,Maize,FS105389,2018,35
6.49,6.682891,Maize,FS105389,2018,36
6.49,6.311244,Maize,FS105389,2018,38
6.49,6.3896046,Maize,FS105389,2018,40
6.49,6.517299,Maize,FS105389,2018,42
6.49,6.752498,Maize,FS105389,2018,48
6.49,6.5833063,Maize,FS105389,2018,52
2.17,2.017299,Maize,FS105401,2018,6
2.17,2.0523796,Maize,FS105401,2018,7
2.17,2.1945345,Maize,FS105401,2018,11
2.17,2.4065146,Maize,FS105401,2018,14
2.17,2.09365,Maize,FS105401,2018,19
2.17,2.650249,Maize,FS105401,2018,21
2.17,2.360882,Maize,FS105401,2018,24
2.17,2.4575057,Maize,FS105401,2018,26
2.17,2.4923937,Maize,FS105401,2018,30
2.17,2.2359347,Maize,FS105401,2018,33
2.17,2.503064,Maize,FS105401,2018,35
2.17,2.2615864,Maize,FS105401,2018,36
2.17,2.2339761,Maize,FS105401,2018,38
2.17,2.1055162,Maize,FS105401,2018,40
2.17,2.4959366,Maize,FS105401,2018,42
2.17,2.205931,Maize,FS105401,2018,48
2.17,2.419437,Maize,FS105401,2018,52
2.54,2.5849855,Maize,FS105555,2018,6
2.54,2.8784394,Maize,FS105555,2018,7
2.54,2.7867963,Maize,FS105555,2018,11
2.54,2.419895,Maize,FS105555,2018,14
2.54,2.7509866,Maize,FS105555,2018,19
2.54,3.11477,Maize,FS105555,2018,21
2.54,2.8446329,Maize,FS105555,2018,24
2.54,3.1852674,Maize,FS105555,2018,26
2.54,2.8025107,Maize,FS105555,2018,30
2.54,2.8792746,Maize,FS105555,2018,33
2.54,2.7346036,Maize,FS105555,2018,35
2.54,3.1838808,Maize,FS105555,2018,36
2.54,2.8533885,Maize,FS105555,2018,38
2.54,2.6798487,Maize,FS105555,2018,40
2.54,3.0135772,Maize,FS105555,2018,42
2.54,2.564114,Maize,FS105555,2018,48
