Week,Crop_type,mean_uncertainty,std_uncertainty,count
3,Maize,0.3600461,0.15235727,35
3,Soy,0.28947884,0.08272652,6
6,Maize,0.41109276,0.19255462,110
6,Soy,0.21682619,0.076066256,23
7,Maize,0.44675902,0.23996331,108
7,Soy,0.22483478,0.09587673,32
8,Maize,0.32306325,0.12403573,37
9,Maize,0.3975125,0.16886717,35
9,Soy,0.19268915,0.056663584,9
10,Maize,0.41814142,0.1871722,72
10,Soy,0.21302854,0.07919607,9
11,Maize,0.41467148,0.18741998,100
11,Soy,0.20904636,0.07227169,28
13,Maize,0.41273433,0.18783769,37
14,Maize,0.40961835,0.20435885,108
14,Soy,0.2081754,0.0774264,32
15,Maize,0.43561772,0.18861175,30
15,Soy,0.20223796,0.046194237,6
16,Maize,0.5268087,0.26728657,37
17,Maize,0.40616593,0.19292101,65
17,Soy,0.23333405,0.08743434,15
18,Maize,0.39235136,0.18858872,94
18,Soy,0.20499286,0.08727749,21
19,Maize,0.40396145,0.15146808,81
19,Soy,0.30974722,0.07924513,14
20,Maize,0.40834975,0.21843575,102
20,Soy,0.2962704,0.085641846,12
21,Maize,0.39169917,0.18819267,101
21,Soy,0.20584229,0.084848315,32
22,Maize,0.34990862,0.13306929,35
22,Soy,0.28070095,0.043397177,6
23,Maize,0.40850574,0.20926017,94
23,Soy,0.18781888,0.08929704,21
24,Maize,0.42259547,0.20925105,81
24,Soy,0.24377136,0.063960604,17
25,Maize,0.4082397,0.22743581,67
25,Soy,0.2560247,0.12541904,5
26,Maize,0.35667744,0.18561146,143
26,Soy,0.20889124,0.08511363,38
27,Maize,0.34914654,0.18042313,100
27,Soy,0.21124527,0.084121116,21
28,Maize,0.41096604,0.1866946,64
28,Soy,0.20914763,0.07604702,15
29,Maize,0.333082,0.16580543,70
29,Soy,0.22089027,0.07725201,15
30,Maize,0.40878037,0.19522002,103
30,Soy,0.20534456,0.08421513,29
31,Maize,0.37856254,0.1540947,27
31,Soy,0.17058165,0.043825552,15
32,Maize,0.4075378,0.17371029,72
32,Soy,0.31329176,0.06049256,6
33,Maize,0.4310183,0.22513668,99
33,Soy,0.20263636,0.072054856,28
34,Maize,0.37100288,0.18152852,102
34,Soy,0.16942061,0.093001254,15
35,Maize,0.3957739,0.1792179,83
35,Soy,0.24706033,0.10089721,8
36,Maize,0.36051357,0.19377393,116
36,Soy,0.24946995,0.15152846,23
37,Maize,0.39427862,0.18707678,67
37,Soy,0.22446746,0.11205815,6
38,Maize,0.34050366,0.15369236,81
38,Soy,0.25818852,0.10973052,14
39,Maize,0.39819568,0.20758153,137
39,Soy,0.23951449,0.10095942,21
40,Maize,0.44403777,0.22958682,62
40,Soy,0.25679386,0.1134785,22
41,Maize,0.34116074,0.15916152,65
41,Soy,0.26557684,0.1099676,12
42,Maize,0.43778232,0.20343305,103
42,Soy,0.24769111,0.07751355,23
43,Maize,0.3706048,0.1791876,35
43,Soy,0.33686018,0.06711529,6
45,Maize,0.36400676,0.1946798,35
45,Soy,0.21179596,0.055213504,9
46,Maize,0.441105,0.24747507,62
46,Soy,0.26007468,0.085300386,13
47,Maize,0.44154716,0.23539643,91
47,Soy,0.21053396,0.08758605,21
48,Maize,0.4076277,0.1849355,77
48,Soy,0.2969478,0.15437974,14
50,Maize,0.36580923,0.15277483,62
50,Soy,0.20749016,0.076649494,24
51,Maize,0.40812102,0.23553893,37
52,Maize,0.4067923,0.1895403,80
52,Soy,0.25215495,0.05087672,16
